
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
42.7992,µm,Spot,14,1000196023,398660,
12.5569,µm,Spot,14,1000253547,398711,
3.26782,µm,Spot,14,1000282540,398941,
3.26782,µm,Spot,14,1000282868,399235,
4.1795,µm,Spot,14,1000196749,399414,
15.9395,µm,Spot,14,1000080712,399444,
4.1795,µm,Spot,14,1000373068,399716,
31.4332,µm,Spot,14,1000312915,399918,
36.6957,µm,Spot,14,1000111173,399990,
17.7349,µm,Spot,14,1000371442,400244,
28.5,µm,Spot,14,1000027048,400915,
18.1902,µm,Spot,14,1000401657,401657,
28.4108,µm,Spot,14,1000026374,402334,
42.7992,µm,Spot,14,1000402605,402605,
3.91542,µm,Spot,14,1000199932,402701,
3.91542,µm,Spot,14,1000257305,402717,
31.4332,µm,Spot,14,1000024512,402891,
22.6107,µm,Spot,14,1000405139,405139,
41.0555,µm,Spot,14,1000260417,405314,
40.749,µm,Spot,14,1000260594,405853,
11.8453,µm,Spot,14,1000145899,406550,
9.40591,µm,Spot,14,1000232501,406554,
9.40591,µm,Spot,14,1000290426,406557,
98.4365,µm,Spot,15,1000290900,407107,
72.5744,µm,Spot,15,1000320447,407345,
44.5115,µm,Spot,15,1000178867,408709,
87.5045,µm,Spot,15,1000409035,409035,
19.1938,µm,Spot,15,1000354480,412263,
19.1938,µm,Spot,15,1000354440,412471,
2.79001,µm,Spot,15,1000327258,414040,
2.79001,µm,Spot,15,1000385100,414048,
57.2132,µm,Spot,15,1000008102,414497,
49.4062,µm,Spot,15,1000244446,418817,
34.7877,µm,Spot,15,1000275823,421562,
34.7877,µm,Spot,15,1000421574,421574,
6.41522,µm,Spot,15,1000218062,421663,
67.5141,µm,Spot,15,1000423376,423376,
6.41522,µm,Spot,15,1000278844,424519,
32.2449,µm,Spot,15,1000019405,425097,
48.8048,µm,Spot,15,1000224431,425221,
46.4099,µm,Spot,15,1000338312,425331,
18.2623,µm,Spot,15,1000165097,425817,
42.4312,µm,Spot,15,1000196023,427702,
4.16789,µm,Spot,15,1000282540,427968,
12.0803,µm,Spot,15,1000253547,428122,
4.16789,µm,Spot,15,1000282868,428284,
17.0363,µm,Spot,15,1000080712,428462,
3.73506,µm,Spot,15,1000196749,428756,
30.0193,µm,Spot,15,1000312915,428970,
34.4833,µm,Spot,15,1000111173,429038,
18.2623,µm,Spot,15,1000371442,429338,
3.96483,µm,Spot,15,1000429687,429687,
3.96483,µm,Spot,15,1000027048,429991,
32.2449,µm,Spot,15,1000401657,430726,
3.73506,µm,Spot,15,1000373068,430921,
29.3911,µm,Spot,15,1000026374,431402,
42.4312,µm,Spot,15,1000402605,431690,
4.38716,µm,Spot,15,1000199932,431779,
4.38716,µm,Spot,15,1000257305,431789,
30.0193,µm,Spot,15,1000024512,431954,
22.9325,µm,Spot,15,1000405139,434235,
39.2203,µm,Spot,15,1000260417,434420,
42.8831,µm,Spot,15,1000260594,434965,
12.3523,µm,Spot,15,1000145899,435593,
9.66986,µm,Spot,15,1000232501,435599,
9.66986,µm,Spot,15,1000290426,435603,
36.3551,µm,Spot,16,1000290900,436100,
70.7963,µm,Spot,16,1000320447,436756,
44.5615,µm,Spot,16,1000178867,437671,
86.197,µm,Spot,16,1000409035,438135,
36.3551,µm,Spot,16,1000439186,439186,
20.7701,µm,Spot,16,1000354440,441187,
20.7701,µm,Spot,16,1000354480,441220,
2.82125,µm,Spot,16,1000327258,442909,
2.82125,µm,Spot,16,1000385100,442914,
58.4009,µm,Spot,16,1000008102,443356,
48.9918,µm,Spot,16,1000244446,447272,
32.0476,µm,Spot,16,1000449132,449132,
35.1154,µm,Spot,16,1000275823,450187,
