
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.6189,3.6189,3.6189,µm,Spot,Diameter,7,1000014633,188535,
3.71676,3.71676,3.71676,µm,Spot,Diameter,7,1000014915,188987,
3.89834,3.89834,3.89834,µm,Spot,Diameter,7,1000074239,189513,
2.87233,2.87233,2.87233,µm,Spot,Diameter,7,1000018381,191915,
4.1426,4.1426,4.1426,µm,Spot,Diameter,7,1000019405,192882,
3.89834,3.89834,3.89834,µm,Spot,Diameter,7,1000135496,193021,
4.21794,4.21794,4.21794,µm,Spot,Diameter,7,1000165097,193932,
3.89834,3.89834,3.89834,µm,Spot,Diameter,7,1000136105,193991,
3.80971,3.80971,3.80971,µm,Spot,Diameter,7,1000196023,196023,
3.16141,3.16141,3.16141,µm,Spot,Diameter,7,1000080712,196104,
1.58071,1.58071,1.58071,µm,Spot,Diameter,7,1000138478,196432,
2.27978,2.27978,2.27978,µm,Spot,Diameter,7,1000196749,196749,
5.6637,5.6637,5.6637,µm,Spot,Diameter,7,1000111173,197053,
3.02378,3.02378,3.02378,µm,Spot,Diameter,7,1000082174,197213,
3.80971,3.80971,3.80971,µm,Spot,Diameter,7,1000026990,197885,
3.71676,3.71676,3.71676,µm,Spot,Diameter,7,1000025762,199227,
3.89834,3.89834,3.89834,µm,Spot,Diameter,7,1000025863,199350,
3.16141,3.16141,3.16141,µm,Spot,Diameter,7,1000026374,199538,
3.02378,3.02378,3.02378,µm,Spot,Diameter,7,1000199932,199932,
2.70297,2.70297,2.70297,µm,Spot,Diameter,7,1000026789,199942,
3.71676,3.71676,3.71676,µm,Spot,Diameter,7,1000024512,200064,
4.1426,4.1426,4.1426,µm,Spot,Diameter,7,1000027048,200164,
3.98311,3.98311,3.98311,µm,Spot,Diameter,7,1000027245,200359,
3.89834,3.89834,3.89834,µm,Spot,Diameter,7,1000027656,200760,
3.40552,3.40552,3.40552,µm,Spot,Diameter,7,1000026660,201704,
3.02378,3.02378,3.02378,µm,Spot,Diameter,7,1000028860,202112,
2.70297,2.70297,2.70297,µm,Spot,Diameter,7,1000058544,202550,
3.28799,3.28799,3.28799,µm,Spot,Diameter,7,1000029962,202900,
2.87233,2.87233,2.87233,µm,Spot,Diameter,7,1000117221,203538,
2.70297,2.70297,2.70297,µm,Spot,Diameter,7,1000145899,203689,
4.06442,4.06442,4.06442,µm,Spot,Diameter,8,1000178867,207307,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000034728,207491,
4.21794,4.21794,4.21794,µm,Spot,Diameter,8,1000005575,209230,
3.80971,3.80971,3.80971,µm,Spot,Diameter,8,1000094504,209263,
3.40552,3.40552,3.40552,µm,Spot,Diameter,8,1000008102,211542,
4.91159,4.91159,4.91159,µm,Spot,Diameter,8,1000158060,215684,
5.12084,5.12084,5.12084,µm,Spot,Diameter,8,1000071729,215911,
4.36103,4.36103,4.36103,µm,Spot,Diameter,8,1000069455,216187,
3.40552,3.40552,3.40552,µm,Spot,Diameter,8,1000130081,216414,
3.28799,3.28799,3.28799,µm,Spot,Diameter,8,1000014633,217248,
5.26723,5.26723,5.26723,µm,Spot,Diameter,8,1000014915,217741,
3.02378,3.02378,3.02378,µm,Spot,Diameter,8,1000218062,218062,
3.28799,3.28799,3.28799,µm,Spot,Diameter,8,1000074239,218280,
2.87233,2.87233,2.87233,µm,Spot,Diameter,8,1000018381,220701,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000221333,221333,
4.29068,4.29068,4.29068,µm,Spot,Diameter,8,1000019405,221685,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000165097,222728,
3.40552,3.40552,3.40552,µm,Spot,Diameter,8,1000136105,222780,
4.1426,4.1426,4.1426,µm,Spot,Diameter,8,1000224234,224234,
2.70297,2.70297,2.70297,µm,Spot,Diameter,8,1000224241,224241,
3.51545,3.51545,3.51545,µm,Spot,Diameter,8,1000224431,224431,
4.55952,4.55952,4.55952,µm,Spot,Diameter,8,1000135496,224496,
3.80971,3.80971,3.80971,µm,Spot,Diameter,8,1000196023,224808,
3.28799,3.28799,3.28799,µm,Spot,Diameter,8,1000138478,224884,
3.16141,3.16141,3.16141,µm,Spot,Diameter,8,1000080712,224892,
2.70297,2.70297,2.70297,µm,Spot,Diameter,8,1000196749,225577,
1.58071,1.58071,1.58071,µm,Spot,Diameter,8,1000111173,225870,
2.87233,2.87233,2.87233,µm,Spot,Diameter,8,1000082174,226025,
1.58071,1.58071,1.58071,µm,Spot,Diameter,8,1000226383,226383,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000026990,226673,
3.71676,3.71676,3.71676,µm,Spot,Diameter,8,1000025863,228123,
2.87233,2.87233,2.87233,µm,Spot,Diameter,8,1000026374,228289,
3.16141,3.16141,3.16141,µm,Spot,Diameter,8,1000199932,228667,
3.40552,3.40552,3.40552,µm,Spot,Diameter,8,1000024512,228832,
2.70297,2.70297,2.70297,µm,Spot,Diameter,8,1000027245,228847,
3.98311,3.98311,3.98311,µm,Spot,Diameter,8,1000027048,228921,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000027656,229877,
