
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
57,,Spot,2,Image 1,9,1000244446,244446,
0,,Spot,2,Image 1,9,1000158060,244507,
0,,Spot,2,Image 1,9,1000069455,244734,
0,,Spot,2,Image 1,9,1000130081,244994,
38,,Spot,2,Image 1,9,1000014633,245823,
0,,Spot,2,Image 1,9,1000014915,246314,
22,,Spot,2,Image 1,9,1000074239,246863,
0,,Spot,2,Image 1,9,1000218062,246918,
94,,Spot,2,Image 1,9,1000018381,249362,
101,,Spot,2,Image 1,9,1000221333,249997,
83,,Spot,2,Image 1,9,1000019405,250348,
251,,Spot,2,Image 1,9,1000165097,251399,
0,,Spot,2,Image 1,9,1000136105,251464,
8,,Spot,2,Image 1,9,1000224234,252909,
0,,Spot,2,Image 1,9,1000224241,252913,
27,,Spot,2,Image 1,9,1000224431,253095,
0,,Spot,2,Image 1,9,1000135496,253178,
0,,Spot,2,Image 1,9,1000196023,253490,
0,,Spot,2,Image 1,9,1000253547,253547,
0,,Spot,2,Image 1,9,1000080712,253569,
0,,Spot,2,Image 1,9,1000138478,253896,
0,,Spot,2,Image 1,9,1000196749,254212,
0,,Spot,2,Image 1,9,1000111173,254504,
0,,Spot,2,Image 1,9,1000226383,255067,
27,,Spot,2,Image 1,9,1000025863,256714,
16,,Spot,2,Image 1,9,1000026374,256892,
52,,Spot,2,Image 1,9,1000026660,257187,
65,,Spot,2,Image 1,9,1000199932,257298,
70,,Spot,2,Image 1,9,1000257305,257305,
0,,Spot,2,Image 1,9,1000024512,257487,
0,,Spot,2,Image 1,9,1000027245,257516,
0,,Spot,2,Image 1,9,1000027048,257607,
0,,Spot,2,Image 1,9,1000027656,258625,
36,,Spot,2,Image 1,9,1000028860,259655,
66,,Spot,2,Image 1,9,1000029962,260412,
22,,Spot,2,Image 1,9,1000260417,260417,
26,,Spot,2,Image 1,9,1000260594,260594,
25,,Spot,2,Image 1,9,1000117221,261077,
0,,Spot,2,Image 1,9,1000145899,261278,
0,,Spot,2,Image 1,9,1000232501,261285,
24,,Spot,2,Image 1,10,1000178867,264958,
159,,Spot,2,Image 1,10,1000034728,265173,
0,,Spot,2,Image 1,10,1000094504,266925,
9,,Spot,2,Image 1,10,1000008102,269091,
0,,Spot,2,Image 1,10,1000244446,273132,
11,,Spot,2,Image 1,10,1000071729,273397,
0,,Spot,2,Image 1,10,1000158060,273457,
0,,Spot,2,Image 1,10,1000130081,274092,
27,,Spot,2,Image 1,10,1000014633,274815,
0,,Spot,2,Image 1,10,1000218062,275628,
251,,Spot,2,Image 1,10,1000275823,275823,
43,,Spot,2,Image 1,10,1000074239,275844,
63,,Spot,2,Image 1,10,1000018381,278435,
0,,Spot,2,Image 1,10,1000278844,278844,
61,,Spot,2,Image 1,10,1000221333,279067,
14,,Spot,2,Image 1,10,1000136105,280223,
251,,Spot,2,Image 1,10,1000165097,280477,
0,,Spot,2,Image 1,10,1000224234,281995,
12,,Spot,2,Image 1,10,1000224241,282000,
18,,Spot,2,Image 1,10,1000019405,282050,
0,,Spot,2,Image 1,10,1000224431,282196,
0,,Spot,2,Image 1,10,1000135496,282272,
20,,Spot,2,Image 1,10,1000282540,282540,
2,,Spot,2,Image 1,10,1000196023,282594,
0,,Spot,2,Image 1,10,1000253547,282661,
43,,Spot,2,Image 1,10,1000282868,282868,
0,,Spot,2,Image 1,10,1000138478,283029,
0,,Spot,2,Image 1,10,1000080712,283031,
0,,Spot,2,Image 1,10,1000196749,283355,
0,,Spot,2,Image 1,10,1000111173,283651,
0,,Spot,2,Image 1,10,1000226383,284246,
0,,Spot,2,Image 1,10,1000027048,284624,
18,,Spot,2,Image 1,10,1000025863,285708,
0,,Spot,2,Image 1,10,1000026374,286205,
41,,Spot,2,Image 1,10,1000026660,286479,
40,,Spot,2,Image 1,10,1000199932,286579,
21,,Spot,2,Image 1,10,1000257305,286591,
0,,Spot,2,Image 1,10,1000024512,286743,
76,,Spot,2,Image 1,10,1000028860,288890,
16,,Spot,2,Image 1,10,1000260417,289633,
0,,Spot,2,Image 1,10,1000260594,289822,
0,,Spot,2,Image 1,10,1000145899,290419,
0,,Spot,2,Image 1,10,1000232501,290422,
0,,Spot,2,Image 1,10,1000290426,290426,
23,,Spot,2,Image 1,11,1000290900,290900,
33,,Spot,2,Image 1,11,1000178867,294112,
99,,Spot,2,Image 1,11,1000034728,294300,
10,,Spot,2,Image 1,11,1000008102,298353,
23,,Spot,2,Image 1,11,1000244446,302487,
0,,Spot,2,Image 1,11,1000071729,302750,
0,,Spot,2,Image 1,11,1000158060,302820,
0,,Spot,2,Image 1,11,1000130081,303418,
18,,Spot,2,Image 1,11,1000014633,304159,
0,,Spot,2,Image 1,11,1000218062,304956,
16,,Spot,2,Image 1,11,1000275823,305169,
0,,Spot,2,Image 1,11,1000074239,305193,
0,,Spot,2,Image 1,11,1000278844,308213,
45,,Spot,2,Image 1,11,1000221333,308444,
252,,Spot,2,Image 1,11,1000224234,308734,
51,,Spot,2,Image 1,11,1000019405,308790,
251,,Spot,2,Image 1,11,1000165097,309573,
31,,Spot,2,Image 1,11,1000224241,311362,
0,,Spot,2,Image 1,11,1000224431,311542,
52,,Spot,2,Image 1,11,1000196023,311574,
0,,Spot,2,Image 1,11,1000253547,311626,
24,,Spot,2,Image 1,11,1000282868,312193,
54,,Spot,2,Image 1,11,1000282540,312199,
0,,Spot,2,Image 1,11,1000080712,312392,
0,,Spot,2,Image 1,11,1000196749,312713,
0,,Spot,2,Image 1,11,1000312915,312915,
0,,Spot,2,Image 1,11,1000111173,312994,
0,,Spot,2,Image 1,11,1000226383,313835,
0,,Spot,2,Image 1,11,1000027048,313885,
52,,Spot,2,Image 1,11,1000026374,315460,
28,,Spot,2,Image 1,11,1000026660,315763,
19,,Spot,2,Image 1,11,1000199932,315851,
0,,Spot,2,Image 1,11,1000257305,315870,
0,,Spot,2,Image 1,11,1000024512,316043,
51,,Spot,2,Image 1,11,1000260417,318916,
0,,Spot,2,Image 1,11,1000260594,319098,
0,,Spot,2,Image 1,11,1000145899,319743,
0,,Spot,2,Image 1,11,1000232501,319753,
0,,Spot,2,Image 1,11,1000290426,319755,
96,,Spot,2,Image 1,12,1000290900,320267,
0,,Spot,2,Image 1,12,1000320447,320447,
0,,Spot,2,Image 1,12,1000178867,323471,
