
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
190,,Surface,3,Image 1,17,1000014470,14691,
77,,Surface,3,Image 1,17,1000014659,14692,
107,,Surface,3,Image 1,17,1000014661,14693,
83,,Surface,3,Image 1,17,1000014353,14694,
93,,Surface,3,Image 1,17,1000014663,14695,
140,,Surface,3,Image 1,17,1000014605,14696,
175,,Surface,3,Image 1,17,1000014197,14697,
124,,Surface,3,Image 1,17,1000014607,14698,
254,,Surface,3,Image 1,17,1000014668,14699,
142,,Surface,3,Image 1,17,1000014199,14700,
66,,Surface,3,Image 1,17,1000014198,14701,
211,,Surface,3,Image 1,17,1000014702,14702,
178,,Surface,3,Image 1,17,1000014453,14703,
123,,Surface,3,Image 1,17,1000014582,14704,
120,,Surface,3,Image 1,18,1000014676,14705,
127,,Surface,3,Image 1,18,1000014394,14706,
129,,Surface,3,Image 1,18,1000014185,14707,
92,,Surface,3,Image 1,18,1000014648,14708,
73,,Surface,3,Image 1,18,1000014647,14709,
102,,Surface,3,Image 1,18,1000014710,14710,
115,,Surface,3,Image 1,18,1000014591,14711,
95,,Surface,3,Image 1,18,1000014683,14712,
77,,Surface,3,Image 1,18,1000014501,14713,
118,,Surface,3,Image 1,18,1000014536,14714,
106,,Surface,3,Image 1,18,1000014686,14715,
125,,Surface,3,Image 1,18,1000014716,14716,
83,,Surface,3,Image 1,18,1000014626,14717,
89,,Surface,3,Image 1,18,1000014656,14718,
50,,Surface,3,Image 1,18,1000014627,14719,
98,,Surface,3,Image 1,18,1000014658,14720,
254,,Surface,3,Image 1,18,1000014470,14721,
151,,Surface,3,Image 1,18,1000014659,14722,
99,,Surface,3,Image 1,18,1000014661,14723,
236,,Surface,3,Image 1,18,1000014353,14724,
84,,Surface,3,Image 1,18,1000014663,14725,
132,,Surface,3,Image 1,18,1000014605,14726,
76,,Surface,3,Image 1,18,1000014607,14727,
254,,Surface,3,Image 1,18,1000014668,14728,
214,,Surface,3,Image 1,18,1000014199,14729,
55,,Surface,3,Image 1,18,1000014198,14730,
185,,Surface,3,Image 1,18,1000014702,14731,
