
Track Ar1 Mean
 ==================== 
Track Ar1 Mean,Unit,Category,ID,
-0.048684,,Track,1000016453,
-0.100561,,Track,1000016466,
-0.419279,,Track,1000016468,
-0.201989,,Track,1000016474,
-0.467689,,Track,1000016475,
-0.154898,,Track,1000016485,
-0.41341,,Track,1000016504,
-0.41658,,Track,1000016508,
-0.284252,,Track,1000016512,
-0.0995556,,Track,1000016521,
-0.630538,,Track,1000016531,
-0.411668,,Track,1000016534,
-0.486882,,Track,1000016542,
-0.357012,,Track,1000016585,
-0.408091,,Track,1000016590,
-0.429661,,Track,1000016591,
-0.481818,,Track,1000016603,
-0.509339,,Track,1000016609,
-0.535205,,Track,1000016611,
-0.327663,,Track,1000016612,
-0.338806,,Track,1000016623,
-0.466392,,Track,1000016626,
-0.365573,,Track,1000016639,
-0.591093,,Track,1000016641,
-0.339084,,Track,1000016643,
-0.513058,,Track,1000016665,
-0.243557,,Track,1000016666,
-0.624293,,Track,1000016674,
-0.334773,,Track,1000016677,
-0.487085,,Track,1000016700,
-0.209301,,Track,1000016703,
-0.154038,,Track,1000016708,
