
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
733.517,s,Surface,20,1000014748,14781,
733.517,s,Surface,20,1000014661,14782,
733.517,s,Surface,20,1000014783,14783,
733.517,s,Surface,20,1000014750,14784,
733.517,s,Surface,20,1000014752,14785,
733.517,s,Surface,20,1000014786,14786,
733.517,s,Surface,20,1000014353,14787,
733.517,s,Surface,20,1000014663,14788,
733.517,s,Surface,20,1000014756,14789,
733.517,s,Surface,20,1000014607,14790,
733.517,s,Surface,20,1000014668,14791,
733.517,s,Surface,20,1000014199,14792,
733.517,s,Surface,20,1000014198,14793,
733.517,s,Surface,20,1000014702,14794,
733.517,s,Surface,20,1000014762,14795,
733.517,s,Surface,20,1000014732,14796,
733.517,s,Surface,20,1000014764,14797,
772.385,s,Surface,21,1000014798,14798,
772.385,s,Surface,21,1000014394,14799,
772.385,s,Surface,21,1000014800,14800,
772.385,s,Surface,21,1000014765,14801,
772.385,s,Surface,21,1000014185,14802,
772.385,s,Surface,21,1000014803,14803,
772.385,s,Surface,21,1000014804,14804,
772.385,s,Surface,21,1000014676,14805,
772.385,s,Surface,21,1000014648,14806,
772.385,s,Surface,21,1000014591,14807,
772.385,s,Surface,21,1000014710,14808,
772.385,s,Surface,21,1000014809,14809,
772.385,s,Surface,21,1000014683,14810,
772.385,s,Surface,21,1000014501,14811,
772.385,s,Surface,21,1000014686,14812,
772.385,s,Surface,21,1000014775,14813,
772.385,s,Surface,21,1000014716,14814,
772.385,s,Surface,21,1000014776,14815,
772.385,s,Surface,21,1000014470,14816,
772.385,s,Surface,21,1000014780,14817,
772.385,s,Surface,21,1000014659,14818,
772.385,s,Surface,21,1000014748,14819,
772.385,s,Surface,21,1000014661,14820,
772.385,s,Surface,21,1000014783,14821,
772.385,s,Surface,21,1000014822,14822,
772.385,s,Surface,21,1000014750,14823,
772.385,s,Surface,21,1000014752,14824,
772.385,s,Surface,21,1000014353,14825,
772.385,s,Surface,21,1000014786,14826,
772.385,s,Surface,21,1000014756,14827,
772.385,s,Surface,21,1000014607,14828,
772.385,s,Surface,21,1000014668,14829,
772.385,s,Surface,21,1000014199,14830,
772.385,s,Surface,21,1000014198,14831,
772.385,s,Surface,21,1000014762,14832,
772.385,s,Surface,21,1000014732,14833,
772.385,s,Surface,21,1000014764,14834,
810.904,s,Surface,22,1000014800,14835,
810.904,s,Surface,22,1000014765,14836,
810.904,s,Surface,22,1000014185,14837,
810.904,s,Surface,22,1000014394,14838,
810.904,s,Surface,22,1000014798,14839,
810.904,s,Surface,22,1000014804,14840,
810.904,s,Surface,22,1000014803,14841,
810.904,s,Surface,22,1000014676,14842,
810.904,s,Surface,22,1000014648,14843,
