
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,12,1000018788,19203,
1,,Surface,12,1000019109,19204,
1,,Surface,12,1000018759,19205,
1,,Surface,12,1000019108,19206,
1,,Surface,12,1000018760,19207,
1,,Surface,12,1000018858,19208,
1,,Surface,12,1000019114,19209,
1,,Surface,12,1000018816,19210,
1,,Surface,12,1000018970,19211,
1,,Surface,12,1000018930,19212,
1,,Surface,12,1000018761,19213,
1,,Surface,12,1000018762,19214,
1,,Surface,12,1000018933,19215,
1,,Surface,12,1000019216,19216,
1,,Surface,12,1000018764,19217,
1,,Surface,12,1000018978,19218,
1,,Surface,12,1000018766,19219,
1,,Surface,12,1000018768,19220,
1,,Surface,12,1000018799,19221,
1,,Surface,12,1000018904,19222,
1,,Surface,12,1000019150,19223,
1,,Surface,12,1000019180,19224,
1,,Surface,12,1000018996,19225,
1,,Surface,12,1000019133,19226,
1,,Surface,12,1000019087,19227,
1,,Surface,12,1000018773,19228,
1,,Surface,12,1000019003,19229,
1,,Surface,12,1000019002,19230,
1,,Surface,12,1000018913,19231,
1,,Surface,12,1000019004,19232,
1,,Surface,12,1000018774,19233,
1,,Surface,12,1000019049,19234,
1,,Surface,12,1000019007,19235,
1,,Surface,12,1000019191,19236,
1,,Surface,12,1000018776,19237,
1,,Surface,12,1000018964,19238,
1,,Surface,12,1000018779,19239,
1,,Surface,13,1000019240,19240,
1,,Surface,13,1000018812,19241,
1,,Surface,13,1000018947,19242,
1,,Surface,13,1000019064,19243,
1,,Surface,13,1000018755,19244,
1,,Surface,13,1000019109,19245,
1,,Surface,13,1000019108,19246,
1,,Surface,13,1000018759,19247,
1,,Surface,13,1000018816,19248,
1,,Surface,13,1000018760,19249,
1,,Surface,13,1000019114,19250,
1,,Surface,13,1000018970,19251,
1,,Surface,13,1000018930,19252,
1,,Surface,13,1000018761,19253,
1,,Surface,13,1000018762,19254,
1,,Surface,13,1000018933,19255,
1,,Surface,13,1000019216,19256,
1,,Surface,13,1000018764,19257,
1,,Surface,13,1000018978,19258,
1,,Surface,13,1000018766,19259,
1,,Surface,13,1000018799,19260,
1,,Surface,13,1000018904,19261,
1,,Surface,13,1000018770,19262,
1,,Surface,13,1000019152,19263,
1,,Surface,13,1000019150,19264,
1,,Surface,13,1000018996,19265,
1,,Surface,13,1000019180,19266,
1,,Surface,13,1000019133,19267,
1,,Surface,13,1000019087,19268,
1,,Surface,13,1000018773,19269,
1,,Surface,13,1000019003,19270,
1,,Surface,13,1000019271,19271,
1,,Surface,13,1000019004,19272,
1,,Surface,13,1000018774,19273,
1,,Surface,13,1000019049,19274,
1,,Surface,13,1000019007,19275,
1,,Surface,13,1000019191,19276,
1,,Surface,13,1000018776,19277,
1,,Surface,13,1000018779,19278,
1,,Surface,14,1000018812,19279,
1,,Surface,14,1000018947,19280,
1,,Surface,14,1000018755,19281,
1,,Surface,14,1000019064,19282,
1,,Surface,14,1000019109,19283,
1,,Surface,14,1000019284,19284,
1,,Surface,14,1000019108,19285,
1,,Surface,14,1000018759,19286,
1,,Surface,14,1000018816,19287,
1,,Surface,14,1000018760,19288,
1,,Surface,14,1000019114,19289,
1,,Surface,14,1000018930,19290,
1,,Surface,14,1000018970,19291,
1,,Surface,14,1000018761,19292,
1,,Surface,14,1000018762,19293,
1,,Surface,14,1000019216,19294,
1,,Surface,14,1000018764,19295,
1,,Surface,14,1000018978,19296,
1,,Surface,14,1000019297,19297,
1,,Surface,14,1000018766,19298,
1,,Surface,14,1000018799,19299,
1,,Surface,14,1000018904,19300,
1,,Surface,14,1000019240,19301,
1,,Surface,14,1000019152,19302,
1,,Surface,14,1000018770,19303,
1,,Surface,14,1000019150,19304,
1,,Surface,14,1000019180,19305,
1,,Surface,14,1000019133,19306,
1,,Surface,14,1000019087,19307,
1,,Surface,14,1000018773,19308,
1,,Surface,14,1000019271,19309,
1,,Surface,14,1000019310,19310,
1,,Surface,14,1000018774,19311,
1,,Surface,14,1000019049,19312,
1,,Surface,14,1000019007,19313,
1,,Surface,14,1000019191,19314,
1,,Surface,14,1000018776,19315,
1,,Surface,14,1000018779,19316,
1,,Surface,15,1000019064,19317,
1,,Surface,15,1000018947,19318,
1,,Surface,15,1000018755,19319,
1,,Surface,15,1000019284,19320,
1,,Surface,15,1000018759,19321,
1,,Surface,15,1000019109,19322,
1,,Surface,15,1000019108,19323,
1,,Surface,15,1000019324,19324,
1,,Surface,15,1000019114,19325,
1,,Surface,15,1000018970,19326,
1,,Surface,15,1000018761,19327,
1,,Surface,15,1000018762,19328,
1,,Surface,15,1000019216,19329,
1,,Surface,15,1000018764,19330,
1,,Surface,15,1000018978,19331,
1,,Surface,15,1000019297,19332,
1,,Surface,15,1000018766,19333,
1,,Surface,15,1000018799,19334,
1,,Surface,15,1000018904,19335,
1,,Surface,15,1000019240,19336,
1,,Surface,15,1000019152,19337,
1,,Surface,15,1000018770,19338,
1,,Surface,15,1000019150,19339,
1,,Surface,15,1000019340,19340,
1,,Surface,15,1000019180,19341,
1,,Surface,15,1000019133,19342,
1,,Surface,15,1000019087,19343,
1,,Surface,15,1000018773,19344,
1,,Surface,15,1000019271,19345,
1,,Surface,15,1000019310,19346,
1,,Surface,15,1000018774,19347,
1,,Surface,15,1000019049,19348,
1,,Surface,15,1000019007,19349,
1,,Surface,15,1000019350,19350,
1,,Surface,15,1000019191,19351,
1,,Surface,15,1000018776,19352,
1,,Surface,15,1000019353,19353,
1,,Surface,15,1000019354,19354,
1,,Surface,15,1000018779,19355,
1,,Surface,16,1000019284,19356,
1,,Surface,16,1000018759,19357,
1,,Surface,16,1000019109,19358,
1,,Surface,16,1000019108,19359,
1,,Surface,16,1000019324,19360,
1,,Surface,16,1000019361,19361,
1,,Surface,16,1000019114,19362,
1,,Surface,16,1000018970,19363,
1,,Surface,16,1000018761,19364,
1,,Surface,16,1000018762,19365,
1,,Surface,16,1000018764,19366,
1,,Surface,16,1000019216,19367,
1,,Surface,16,1000018978,19368,
1,,Surface,16,1000019297,19369,
1,,Surface,16,1000018766,19370,
1,,Surface,16,1000018799,19371,
1,,Surface,16,1000018947,19372,
1,,Surface,16,1000019064,19373,
1,,Surface,16,1000019240,19374,
1,,Surface,16,1000019152,19375,
1,,Surface,16,1000018770,19376,
1,,Surface,16,1000019150,19377,
1,,Surface,16,1000019340,19378,
1,,Surface,16,1000019180,19379,
1,,Surface,16,1000019133,19380,
1,,Surface,16,1000019087,19381,
1,,Surface,16,1000018773,19382,
1,,Surface,16,1000019271,19383,
1,,Surface,16,1000019310,19384,
1,,Surface,16,1000018774,19385,
1,,Surface,16,1000019049,19386,
1,,Surface,16,1000019350,19387,
1,,Surface,16,1000018776,19388,
1,,Surface,16,1000019191,19389,
1,,Surface,16,1000019353,19390,
1,,Surface,16,1000019354,19391,
1,,Surface,16,1000018779,19392,
