
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
1.43667,um,Surface,14,1000018970,19291,
1.4967,um,Surface,14,1000018761,19292,
0.641656,um,Surface,14,1000018762,19293,
0.629972,um,Surface,14,1000019216,19294,
2.05488,um,Surface,14,1000018764,19295,
0.507116,um,Surface,14,1000018978,19296,
0,um,Surface,14,1000019297,19297,
0.5621,um,Surface,14,1000018766,19298,
0.626967,um,Surface,14,1000018799,19299,
0.587105,um,Surface,14,1000018904,19300,
1.94593,um,Surface,14,1000019240,19301,
0.830148,um,Surface,14,1000019152,19302,
1.41971,um,Surface,14,1000018770,19303,
1.08213,um,Surface,14,1000019150,19304,
0.742612,um,Surface,14,1000019180,19305,
0.735496,um,Surface,14,1000019133,19306,
0.830292,um,Surface,14,1000019087,19307,
0.415138,um,Surface,14,1000018773,19308,
2.27214,um,Surface,14,1000019271,19309,
0,um,Surface,14,1000019310,19310,
1.19037,um,Surface,14,1000018774,19311,
0.685126,um,Surface,14,1000019049,19312,
1.0129,um,Surface,14,1000019007,19313,
4.18716,um,Surface,14,1000019191,19314,
1.44127,um,Surface,14,1000018776,19315,
1.11563,um,Surface,14,1000018779,19316,
1.69633,um,Surface,15,1000019064,19317,
1.10138,um,Surface,15,1000018947,19318,
2.05509,um,Surface,15,1000018755,19319,
4.88888,um,Surface,15,1000019284,19320,
2.53609,um,Surface,15,1000018759,19321,
1.77938,um,Surface,15,1000019109,19322,
1.05925,um,Surface,15,1000019108,19323,
0,um,Surface,15,1000019324,19324,
4.81883,um,Surface,15,1000019114,19325,
1.49944,um,Surface,15,1000018970,19326,
1.56125,um,Surface,15,1000018761,19327,
1.99509,um,Surface,15,1000018762,19328,
2.50448,um,Surface,15,1000019216,19329,
2.73129,um,Surface,15,1000018764,19330,
1.31112,um,Surface,15,1000018978,19331,
2.01764,um,Surface,15,1000019297,19332,
1.51432,um,Surface,15,1000018766,19333,
1.36351,um,Surface,15,1000018799,19334,
2.8864,um,Surface,15,1000018904,19335,
2.13706,um,Surface,15,1000019240,19336,
0.980165,um,Surface,15,1000019152,19337,
1.93242,um,Surface,15,1000018770,19338,
1.30005,um,Surface,15,1000019150,19339,
0,um,Surface,15,1000019340,19340,
0.742615,um,Surface,15,1000019180,19341,
0.962705,um,Surface,15,1000019133,19342,
1.31273,um,Surface,15,1000019087,19343,
1.27132,um,Surface,15,1000018773,19344,
3.26268,um,Surface,15,1000019271,19345,
0.978493,um,Surface,15,1000019310,19346,
1.93628,um,Surface,15,1000018774,19347,
1.71628,um,Surface,15,1000019049,19348,
2.43901,um,Surface,15,1000019007,19349,
0,um,Surface,15,1000019350,19350,
1.64559,um,Surface,15,1000019191,19351,
1.19182,um,Surface,15,1000018776,19352,
0,um,Surface,15,1000019353,19353,
0,um,Surface,15,1000019354,19354,
0.928271,um,Surface,15,1000018779,19355,
2.78687,um,Surface,16,1000019284,19356,
2.24877,um,Surface,16,1000018759,19357,
0.80772,um,Surface,16,1000019109,19358,
1.40974,um,Surface,16,1000019108,19359,
0.874054,um,Surface,16,1000019324,19360,
0,um,Surface,16,1000019361,19361,
1.81615,um,Surface,16,1000019114,19362,
1.10852,um,Surface,16,1000018970,19363,
0.985038,um,Surface,16,1000018761,19364,
0.93536,um,Surface,16,1000018762,19365,
0.339002,um,Surface,16,1000018764,19366,
1.45964,um,Surface,16,1000019216,19367,
1.27745,um,Surface,16,1000018978,19368,
1.6625,um,Surface,16,1000019297,19369,
0.801786,um,Surface,16,1000018766,19370,
0.843259,um,Surface,16,1000018799,19371,
1.49181,um,Surface,16,1000018947,19372,
0.622645,um,Surface,16,1000019064,19373,
1.17417,um,Surface,16,1000019240,19374,
0.842748,um,Surface,16,1000019152,19375,
1.39843,um,Surface,16,1000018770,19376,
1.15678,um,Surface,16,1000019150,19377,
0.415131,um,Surface,16,1000019340,19378,
1.08255,um,Surface,16,1000019180,19379,
0.748455,um,Surface,16,1000019133,19380,
1.07934,um,Surface,16,1000019087,19381,
0.362902,um,Surface,16,1000018773,19382,
3.97575,um,Surface,16,1000019271,19383,
0.946642,um,Surface,16,1000019310,19384,
1.25804,um,Surface,16,1000018774,19385,
0.734715,um,Surface,16,1000019049,19386,
1.44531,um,Surface,16,1000019350,19387,
1.76102,um,Surface,16,1000018776,19388,
