
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
65.1855,78.3132,27.7792,°,Surface,Velocity Angle,7,1000018765,18977,
96.0362,100.821,167.583,°,Surface,Velocity Angle,7,1000018978,18978,
173.161,84.6456,85.7555,°,Surface,Velocity Angle,7,1000018766,18979,
45.0001,135.003,90.0027,°,Surface,Velocity Angle,7,1000018867,18980,
21.8029,111.806,90.0027,°,Surface,Velocity Angle,7,1000018767,18981,
129.868,108.109,134.578,°,Surface,Velocity Angle,7,1000018768,18982,
168.696,78.6934,90.0027,°,Surface,Velocity Angle,7,1000018797,18983,
128.777,121.262,125.585,°,Surface,Velocity Angle,7,1000018799,18984,
153.439,116.568,90.0027,°,Surface,Velocity Angle,7,1000018904,18985,
27.1994,75.1198,67.7865,°,Surface,Velocity Angle,7,1000018816,18986,
128.299,130.133,116.609,°,Surface,Velocity Angle,7,1000018759,18987,
96.0795,129.438,139.917,°,Surface,Velocity Angle,7,1000018758,18988,
45.0029,44.9997,90.0027,°,Surface,Velocity Angle,7,1000018757,18989,
10.3049,79.6978,90.0027,°,Surface,Velocity Angle,7,1000018756,18990,
132.783,126.346,64.3399,°,Surface,Velocity Angle,7,1000018755,18991,
147.043,112.982,112.273,°,Surface,Velocity Angle,7,1000018812,18992,
144.251,113.004,115.752,°,Surface,Velocity Angle,7,1000018947,18993,
164.08,101.23,78.8549,°,Surface,Velocity Angle,7,1000018769,18994,
142.648,85.028,53.0932,°,Surface,Velocity Angle,7,1000018770,18995,
180.005,90.0027,90.0027,°,Surface,Velocity Angle,7,1000018996,18996,
101.313,168.695,90.0027,°,Surface,Velocity Angle,7,1000018802,18997,
112.356,97.2859,156.371,°,Surface,Velocity Angle,7,1000018772,18998,
123.694,146.314,90.0027,°,Surface,Velocity Angle,7,1000018773,18999,
38.1215,125.864,78.775,°,Surface,Velocity Angle,7,1000018912,19000,
156.811,96.0327,112.31,°,Surface,Velocity Angle,7,1000018913,19001,
58.8134,114.478,138.462,°,Surface,Velocity Angle,7,1000019002,19002,
